genre,movie,top_50_rank
Biography,tt1210166,33
Biography,tt1596363,34
Biography,tt8503618,35
Biography,tt4846340,36
Biography,tt1895587,37
Biography,tt7984766,38
Biography,tt2179136,39
Biography,tt4273800,40
Biography,tt1727824,41
Biography,tt14295590,42
Biography,tt1285016,43
Biography,tt1675434,44
Biography,tt0758758,45
Biography,tt0056937,46
Biography,tt1504320,47
Biography,tt1024648,48
Biography,tt0086197,49
Biography,tt7599146,50
Music,tt1981677,1
Music,tt2582802,2
Music,tt14444726,3
Music,tt12193804,4
Music,tt3704428,5
Music,tt0181875,6
Music,tt10366460,7
Music,tt2848292,8
Music,tt0332379,9
Music,tt3783958,10
Music,tt8580274,11
Music,tt0253474,12
Music,tt6966692,13
Music,tt17076046,14
Music,tt3890160,15
Music,tt1727824,16
Music,tt2380307,17
Music,tt4765284,18
Music,tt0087277,19
Music,tt5535276,20
Music,tt12758486,21
Music,tt1517451,22
Music,tt0322330,23
Music,tt11976532,24
Music,tt0086879,25
Music,tt0092890,26
Music,tt0088258,27
Music,tt1436562,28
Music,tt2066051,29
Music,tt0298203,30
Music,tt0200550,31
Music,tt0411705,32
Music,tt2948372,33
Music,tt1679335,34
Music,tt4614584,35
Music,tt8359848,36
Music,tt0190590,37
Music,tt1126591,38
Music,tt0105793,39
Music,tt0053291,40
Music,tt0080455,41
Music,tt0108147,42
Music,tt0076666,43
Music,tt0112950,44
Music,tt0358273,45
Music,tt4062536,46
Music,tt0254686,47
Music,tt1086064,48
Music,tt8079248,49
Music,tt0103855,50
War,tt4873118,1
War,tt14846026,2
War,tt10545296,3
War,tt3291150,4
War,tt8579674,5
War,tt0265086,6
War,tt1016150,7
War,tt0361748,8
War,tt3739110,9
War,tt2119532,10
War,tt0078788,11
War,tt0120815,12
War,tt5013056,13
War,tt1790885,14
War,tt0091251,15
War,tt0054331,16
War,tt0213847,17
War,tt4172430,18
War,tt0093058,19
War,tt13287846,20
War,tt0213149,21
War,tt2584384,22
War,tt0112573,23
War,tt0253474,24
War,tt2713180,25
War,tt7984766,26
War,tt1413492,27
War,tt2179136,28
War,tt0783233,29
War,tt0091763,30
War,tt0887912,31
War,tt0942385,32
War,tt0993840,33
War,tt0118799,34
War,tt0110322,35
War,tt0389557,36
War,tt0034583,37
War,tt0320661,38
War,tt0363163,39
War,tt0457430,40
War,tt0451279,41
War,tt2084970,42
War,tt2005151,43
War,tt0104691,44
War,tt0311113,45
War,tt0031381,46
War,tt6924650,47
War,tt5177120,48
War,tt0077416,49
War,tt7693316,50
Crime,tt10366206,1
Crime,tt5433140,2
Crime,tt27197387,3
Crime,tt0113277,4
Crime,tt0068646,5
Crime,tt5537002,6
Crime,tt10151854,7
Crime,tt13269536,8
Crime,tt13923456,9
Crime,tt1877830,10
Crime,tt2911666,11
Crime,tt5688068,12
Crime,tt0468569,13
Crime,tt0110912,14
Crime,tt5433138,15
Crime,tt10365998,16
Crime,tt7888964,17
Crime,tt11291274,18
Crime,tt0993846,19
Crime,tt11564570,20
Crime,tt0110413,21
Crime,tt0099938,22
Crime,tt0120689,23
Crime,tt0144084,24
Crime,tt0407887,25
Crime,tt3605418,26
Crime,tt0099685,27
Crime,tt11315808,28
Crime,tt15255288,29
Crime,tt0117913,30
Crime,tt0232500,31
Crime,tt1392214,32
Crime,tt10696896,33
Crime,tt0114369,34
Crime,tt8367814,35
Crime,tt0181865,36
Crime,tt2278388,37
Crime,tt25602750,38
Crime,tt7286456,39
Crime,tt10275534,40
Crime,tt3155298,41
Crime,tt8009314,42
Crime,tt0102926,43
Crime,tt4425200,44
Crime,tt0765429,45
Crime,tt6146586,46
Crime,tt0075314,47
Crime,tt0086066,48
Crime,tt0071562,49
Crime,tt1723121,50
Western,tt5537002,1
Western,tt0108358,2
Western,tt1853728,3
Western,tt2404435,4
Western,tt21440780,5
Western,tt0060196,6
Western,tt5362988,7
Western,tt3460252,8
Western,tt0090022,9
Western,tt8593824,10
Western,tt2582782,11
Western,tt0099348,12
Western,tt0105695,13
Western,tt1663202,14
Western,tt6412452,15
Western,tt0110322,16
Western,tt10293406,17
Western,tt2494362,18
Western,tt0054047,19
Western,tt0064116,20
Western,tt0071230,21
Western,tt0381849,22
Western,tt0114214,23
Western,tt0112851,24
Western,tt0111756,25
Western,tt10696784,26
Western,tt1403865,27
Western,tt0096487,28
Western,tt0058461,29
Western,tt5478478,30
Western,tt1549920,31
Western,tt9340860,32
Western,tt0059578,33
Western,tt0040897,34
Western,tt0102744,35
Western,tt0316356,36
Western,tt6878306,37
Western,tt0092086,38
Western,tt1648190,39
Western,tt2076822,40
Western,tt1192628,41
Western,tt0075029,42
Western,tt0120746,43
Western,tt0068762,44
Western,tt0064115,45
Western,tt0099088,46
Western,tt21094994,47
Western,tt0068699,48
Western,tt17505010,49
Western,tt0053221,50
Family,tt6718170,1
Family,tt5971474,2
Family,tt5635026,3
Family,tt9362722,4
Family,tt9185206,5
Family,tt5264838,6
Family,tt3915174,7
Family,tt0316396,8
Family,tt0241527,9
Family,tt4633694,10
Family,tt0089218,11
Family,tt0117008,12
Family,tt0102057,13
Family,tt6166392,14
Family,tt3040964,15
Family,tt0108255,16
Family,tt0093779,17
Family,tt0398286,18
Family,tt6467266,19
Family,tt1964418,20
Family,tt0097757,21
Family,tt0110357,22
Family,tt0245429,23
Family,tt3521164,24
Family,tt2543472,25
Family,tt2953050,26
Family,tt0317219,27
Family,tt15789038,28
Family,tt0067992,29
Family,tt11304740,30
Family,tt6105098,31
Family,tt1695843,32
Family,tt0382932,33
Family,tt0330373,34
Family,tt23219684,35
Family,tt0363771,36
Family,tt1201607,37
Family,tt5884052,38
Family,tt0032138,39
Family,tt2771200,40
Family,tt0317705,41
Family,tt0367594,42
Family,tt11210390,43
Family,tt0304141,44
Family,tt0114709,45
Family,tt1482459,46
Family,tt8589698,47
Family,tt6139732,48
Family,tt0347149,49
Family,tt7798604,50
Adventure,tt6791350,1
Adventure,tt2906216,2
Adventure,tt6718170,3
Adventure,tt5971474,4
Adventure,tt9224104,5
Adventure,tt15239678,6
Adventure,tt2015381,7
Adventure,tt5635026,8
Adventure,tt15326988,9
Adventure,tt3896198,10
Adventure,tt5433140,11
Adventure,tt0439572,12
Adventure,tt10954600,13
Adventure,tt9362722,14
Adventure,tt1160419,15
Adventure,tt1630029,16
Adventure,tt5090568,17
Adventure,tt6528290,18
Adventure,tt10545296,19
Adventure,tt6710474,20
Adventure,tt1517268,21
Adventure,tt5264838,22
Adventure,tt10151854,23
Adventure,tt6334354,24
Adventure,tt0816692,25
Adventure,tt12261776,26
Adventure,tt3291150,27
Adventure,tt1462764,28
Adventure,tt3915174,29
Adventure,tt4154796,30
Adventure,tt10648342,31
Adventure,tt10872600,32
Adventure,tt0316396,33
Adventure,tt1375666,34
Adventure,tt0241527,35
Adventure,tt16428256,36
Adventure,tt0082198,37
Adventure,tt4495098,38
Adventure,tt1392170,39
Adventure,tt9114286,40
Adventure,tt9603212,41
Adventure,tt0076759,42
Adventure,tt0120737,43
Adventure,tt4633694,44
Adventure,tt4154756,45
Adventure,tt0387808,46
Adventure,tt0172495,47
Adventure,tt5884796,48
Adventure,tt2802144,49
Adventure,tt0089218,50
Action,tt6791350,1
Action,tt2906216,2
Action,tt4873118,3
Action,tt6968614,4
Action,tt9224104,5
Action,tt15239678,6
Action,tt2015381,7
Action,tt5635026,8
Action,tt15326988,9
Action,tt10366206,10
Action,tt3896198,11
Action,tt5433140,12
Action,tt27197387,13
Action,tt14846026,14
Action,tt0439572,15
Action,tt10954600,16
Action,tt9362722,17
Action,tt1160419,18
Action,tt1630029,19
Action,tt0113277,20
Action,tt5090568,21
Action,tt4779682,22
Action,tt6528290,23
Action,tt7985704,24
Action,tt10545296,25
Action,tt6710474,26
Action,tt8080204,27
Action,tt1745960,28
Action,tt10151854,29
Action,tt12593682,30
